source,layer,lat,lon,name,addendum_json_vh,addendum_json_georg
swe-virtual-herbarium,socken,56.92539,18.17084,Sundre,"{""District"":""Sundre"",""Province"":""Gotland"",""Country"":""Sweden"",""Län"":""Gotlands län"",""Kommun"":""Gotland"",""Latitude"":56.92539,""Longitude"":18.17084,""Continent"":""Europe"",""ID"":16726,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":8015,""RT90centrE"":1644035,""RT90centrN"":6313464,""Code"":""SE-0980""}","{""coordinateUncertaintyInMeters"":8015,""locationDisplayLabel"":""Sundre""}"
swe-virtual-herbarium,socken,57.747130000000006,18.61448,Tingstäde,"{""District"":""Tingstäde"",""Province"":""Gotland"",""Country"":""Sweden"",""Län"":""Gotlands län"",""Kommun"":""Gotland"",""Latitude"":57.74713,""Longitude"":18.61448,""Continent"":""Europe"",""ID"":16727,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":4824,""RT90centrE"":1667263,""RT90centrN"":6405955,""Code"":""SE-0980""}","{""coordinateUncertaintyInMeters"":4824,""locationDisplayLabel"":""Tingstäde""}"
swe-virtual-herbarium,socken,57.526740000000004,18.14793,Tofta,"{""District"":""Tofta"",""Province"":""Gotland"",""Country"":""Sweden"",""Län"":""Gotlands län"",""Kommun"":""Gotland"",""Latitude"":57.52674,""Longitude"":18.14793,""Continent"":""Europe"",""ID"":16728,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":7553,""RT90centrE"":1640339,""RT90centrN"":6380361,""Code"":""SE-0980""}","{""coordinateUncertaintyInMeters"":7553,""locationDisplayLabel"":""Tofta""}"
swe-virtual-herbarium,socken,57.56536,18.31202,Träkumla,"{""District"":""Träkumla"",""Province"":""Gotland"",""Country"":""Sweden"",""Län"":""Gotlands län"",""Kommun"":""Gotland"",""Latitude"":57.56536,""Longitude"":18.31202,""Continent"":""Europe"",""ID"":16729,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":6312,""RT90centrE"":1650007,""RT90centrN"":6385011,""Code"":""SE-0980""}","{""coordinateUncertaintyInMeters"":6312,""locationDisplayLabel"":""Träkumla""}"
swe-virtual-herbarium,socken,57.526559999999996,18.35033,Vall,"{""District"":""Vall"",""Province"":""Gotland"",""Country"":""Sweden"",""Län"":""Gotlands län"",""Kommun"":""Gotland"",""Latitude"":57.52656,""Longitude"":18.35033,""Continent"":""Europe"",""ID"":16730,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":3750,""RT90centrE"":1652462,""RT90centrN"":6380778,""Code"":""SE-0980""}","{""coordinateUncertaintyInMeters"":3750,""locationDisplayLabel"":""Vall""}"
swe-virtual-herbarium,socken,57.61338000000001,18.65905,Vallstena,"{""District"":""Vallstena"",""Province"":""Gotland"",""Country"":""Sweden"",""Län"":""Gotlands län"",""Kommun"":""Gotland"",""Latitude"":57.61338,""Longitude"":18.65905,""Continent"":""Europe"",""ID"":16731,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":4715,""RT90centrE"":1670542,""RT90centrN"":6391176,""Code"":""SE-0980""}","{""coordinateUncertaintyInMeters"":4715,""locationDisplayLabel"":""Vallstena""}"
swe-virtual-herbarium,socken,56.96909,18.22918,Vamlingbo,"{""District"":""Vamlingbo"",""Province"":""Gotland"",""Country"":""Sweden"",""Län"":""Gotlands län"",""Kommun"":""Gotland"",""Latitude"":56.96909,""Longitude"":18.22918,""Continent"":""Europe"",""ID"":16732,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":8555,""RT90centrE"":1647415,""RT90centrN"":6318452,""Code"":""SE-0980""}","{""coordinateUncertaintyInMeters"":8555,""locationDisplayLabel"":""Vamlingbo""}"
swe-virtual-herbarium,socken,57.46945,18.44978,Viklau,"{""District"":""Viklau"",""Province"":""Gotland"",""Country"":""Sweden"",""Län"":""Gotlands län"",""Kommun"":""Gotland"",""Latitude"":57.46945,""Longitude"":18.44978,""Continent"":""Europe"",""ID"":16733,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":6589,""RT90centrE"":1658665,""RT90centrN"":6374647,""Code"":""SE-0980""}","{""coordinateUncertaintyInMeters"":6589,""locationDisplayLabel"":""Viklau""}"
swe-virtual-herbarium,socken,57.64303,18.32273,Visby,"{""District"":""Visby"",""Province"":""Gotland"",""Country"":""Sweden"",""Län"":""Gotlands län"",""Kommun"":""Gotland"",""Latitude"":57.64303,""Longitude"":18.32273,""Continent"":""Europe"",""ID"":16734,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":6155,""RT90centrE"":1650327,""RT90centrN"":6393682,""Code"":""SE-0980""}","{""coordinateUncertaintyInMeters"":6155,""locationDisplayLabel"":""Visby""}"
swe-virtual-herbarium,socken,57.440459999999995,18.51502,Vänge,"{""District"":""Vänge"",""Province"":""Gotland"",""Country"":""Sweden"",""Län"":""Gotlands län"",""Kommun"":""Gotland"",""Latitude"":57.44046,""Longitude"":18.51502,""Continent"":""Europe"",""ID"":16735,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":5947,""RT90centrE"":1662706,""RT90centrN"":6371574,""Code"":""SE-0980""}","{""coordinateUncertaintyInMeters"":5947,""locationDisplayLabel"":""Vänge""}"
swe-virtual-herbarium,socken,57.698980000000006,18.413079999999997,Väskinde,"{""District"":""Väskinde"",""Province"":""Gotland"",""Country"":""Sweden"",""Län"":""Gotlands län"",""Kommun"":""Gotland"",""Latitude"":57.69898,""Longitude"":18.41308,""Continent"":""Europe"",""ID"":16736,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":5136,""RT90centrE"":1655482,""RT90centrN"":6400114,""Code"":""SE-0980""}","{""coordinateUncertaintyInMeters"":5136,""locationDisplayLabel"":""Väskinde""}"
swe-virtual-herbarium,socken,57.447880000000005,18.14144,Västergarn,"{""District"":""Västergarn"",""Province"":""Gotland"",""Country"":""Sweden"",""Län"":""Gotlands län"",""Kommun"":""Gotland"",""Latitude"":57.44788,""Longitude"":18.14144,""Continent"":""Europe"",""ID"":16737,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":4376,""RT90centrE"":1640252,""RT90centrN"":6371569,""Code"":""SE-0980""}","{""coordinateUncertaintyInMeters"":4376,""locationDisplayLabel"":""Västergarn""}"
swe-virtual-herbarium,socken,57.58585,18.229870000000002,Västerhejde,"{""District"":""Västerhejde"",""Province"":""Gotland"",""Country"":""Sweden"",""Län"":""Gotlands län"",""Kommun"":""Gotland"",""Latitude"":57.58585,""Longitude"":18.22987,""Continent"":""Europe"",""ID"":16738,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":4979,""RT90centrE"":1645011,""RT90centrN"":6387115,""Code"":""SE-0980""}","{""coordinateUncertaintyInMeters"":4979,""locationDisplayLabel"":""Västerhejde""}"
swe-virtual-herbarium,socken,57.44266999999999,18.3571,Väte,"{""District"":""Väte"",""Province"":""Gotland"",""Country"":""Sweden"",""Län"":""Gotlands län"",""Kommun"":""Gotland"",""Latitude"":57.44267,""Longitude"":18.3571,""Continent"":""Europe"",""ID"":16739,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":8481,""RT90centrE"":1653217,""RT90centrN"":6371454,""Code"":""SE-0980""}","{""coordinateUncertaintyInMeters"":8481,""locationDisplayLabel"":""Väte""}"
swe-virtual-herbarium,socken,57.0208,18.31193,Öja,"{""District"":""Öja"",""Province"":""Gotland"",""Country"":""Sweden"",""Län"":""Gotlands län"",""Kommun"":""Gotland"",""Latitude"":57.0208,""Longitude"":18.31193,""Continent"":""Europe"",""ID"":16740,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":18414,""RT90centrE"":1652235,""RT90centrN"":6324390,""Code"":""SE-0980""}","{""coordinateUncertaintyInMeters"":18414,""locationDisplayLabel"":""Öja""}"
swe-virtual-herbarium,socken,57.420590000000004,18.87728,Östergarn,"{""District"":""Östergarn"",""Province"":""Gotland"",""Country"":""Sweden"",""Län"":""Gotlands län"",""Kommun"":""Gotland"",""Latitude"":57.42059,""Longitude"":18.87728,""Continent"":""Europe"",""ID"":16741,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":8369,""RT90centrE"":1684549,""RT90centrN"":6370289,""Code"":""SE-0980""}","{""coordinateUncertaintyInMeters"":8369,""locationDisplayLabel"":""Östergarn""}"
swe-virtual-herbarium,socken,60.67813,17.328789999999998,Gävle,"{""District"":""Gävle"",""Province"":""Gästrikland"",""Country"":""Sweden"",""Län"":""Gävleborgs län"",""Kommun"":""Gävle"",""Latitude"":60.67813,""Longitude"":17.32879,""Continent"":""Europe"",""ID"":16742,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":20844,""RT90centrE"":1583271,""RT90centrN"":6729964,""Code"":""SE-2180""}","{""coordinateUncertaintyInMeters"":20844,""locationDisplayLabel"":""Gävle""}"
swe-virtual-herbarium,socken,60.95203000000001,17.10144,Hamrånge,"{""District"":""Hamrånge"",""Province"":""Gästrikland"",""Country"":""Sweden"",""Län"":""Gävleborgs län"",""Kommun"":""Gävle"",""Latitude"":60.95203,""Longitude"":17.10144,""Continent"":""Europe"",""ID"":16743,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":17741,""RT90centrE"":1570245,""RT90centrN"":6760213,""Code"":""SE-2180""}","{""coordinateUncertaintyInMeters"":17741,""locationDisplayLabel"":""Hamrånge""}"
